[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.02780000 | Giá: 1894.48 USDT | Tổng: 52.67 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.02250000 | Giá: 1894.48 USDT | Tổng: 42.63 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.63080000 | Giá: 1894.47 USDT | Tổng: 1195.03 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.47 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.47 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1894.47 USDT | Tổng: 5.12 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.08640000 | Giá: 1894.47 USDT | Tổng: 163.68 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.15160000 | Giá: 1894.47 USDT | Tổng: 287.20 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.47 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.38950000 | Giá: 1894.47 USDT | Tổng: 737.90 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.61430000 | Giá: 1894.48 USDT | Tổng: 1163.78 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.26000000 | Giá: 1894.47 USDT | Tổng: 492.56 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.48000000 | Giá: 1894.47 USDT | Tổng: 909.35 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 5.62050000 | Giá: 1894.47 USDT | Tổng: 10647.87 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.14580000 | Giá: 1894.47 USDT | Tổng: 276.21 USDT
[ETH] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.33270000 | Giá: 1894.47 USDT | Tổng: 630.29 USDT
